i_o	threads	method	region	size	delta_x	delta_y	mean_duration_clock	mean_duration_mono	mean_duration_sys	ci_duration_clock	ci_duration_mono	ci_duration_sys	repetitions
0	1	seq	Full Picture	24	4.0	4.0	0.000413325	0.007938100000000003	0.0079374	0.0005085069855668222	0.022818437873899908	0.022818623504049337	10
1	1	seq	Full Picture	24	4.0	4.0	0.000413325	0.007938100000000003	0.0079374	0.0005085069855668222	0.022818437873899908	0.022818623504049337	10
0	2	seq	Full Picture	24	4.0	4.0	0.00018800000000000004	0.00018425	0.00018334999999999996	0.000213518352619308	0.00021340457090749139	0.00021320399691128535	10
1	2	seq	Full Picture	24	4.0	4.0	0.00018800000000000004	0.00018425	0.00018334999999999996	0.000213518352619308	0.00021340457090749139	0.00021320399691128535	10
0	4	seq	Full Picture	24	4.0	4.0	0.0001873	0.0001831	0.00018244999999999996	0.0002103511094287233	0.00021074751924368747	0.00021064827076132584	10
1	4	seq	Full Picture	24	4.0	4.0	0.0001873	0.0001831	0.00018244999999999996	0.0002103511094287233	0.00021074751924368747	0.00021064827076132584	10
0	8	seq	Full Picture	24	4.0	4.0	0.00019585000000000002	0.0001921	0.00019124999999999996	0.00023491207771598742	0.00023500899437210797	0.00023507607042021637	10
1	8	seq	Full Picture	24	4.0	4.0	0.00019585000000000002	0.0001921	0.00019124999999999996	0.00023491207771598742	0.00023500899437210797	0.00023507607042021637	10
0	1	seq	Seahorse Valley	24	0.10000000000000009	0.10000000000000005	0.0013406999999999998	0.009877575	0.009876824999999997	0.0014531199344773248	0.023375264498460675	0.023375422980961492	10
1	1	seq	Seahorse Valley	24	0.10000000000000009	0.10000000000000005	0.0013406999999999998	0.009877575	0.009876824999999997	0.0014531199344773248	0.023375264498460675	0.023375422980961492	10
0	2	seq	Seahorse Valley	24	0.10000000000000009	0.10000000000000002	0.0010945999999999998	0.0010916	0.0010908	0.0013012049838531249	0.0013033624437802564	0.0013033590619609737	10
1	2	seq	Seahorse Valley	24	0.10000000000000009	0.10000000000000002	0.0010945999999999998	0.0010916	0.0010908	0.0013012049838531249	0.0013033624437802564	0.0013033590619609737	10
0	4	seq	Seahorse Valley	24	0.10000000000000009	0.10000000000000002	0.00109125	0.0010883499999999999	0.00108755	0.0013000946593472176	0.0013015879353935735	0.0013013783951018607	10
1	4	seq	Seahorse Valley	24	0.10000000000000009	0.10000000000000002	0.00109125	0.0010883499999999999	0.00108755	0.0013000946593472176	0.0013015879353935735	0.0013013783951018607	10
0	8	seq	Seahorse Valley	24	0.10000000000000009	0.10000000000000002	0.0010994999999999998	0.0010969499999999997	0.0010960499999999999	0.0013336281157961935	0.0013353945466715068	0.001335581522513695	10
1	8	seq	Seahorse Valley	24	0.10000000000000009	0.10000000000000002	0.0010994999999999998	0.0010969499999999997	0.0010960499999999999	0.0013336281157961935	0.0013353945466715068	0.001335581522513695	10
0	1	seq	Elephant Valley	24	0.2000000000000001	0.2000000000000001	0.001330575	0.01097845	0.010977774999999999	0.001414031891473311	0.028110547736620806	0.02811069402086703	10
1	1	seq	Elephant Valley	24	0.2000000000000001	0.2000000000000001	0.001330575	0.01097845	0.010977774999999999	0.001414031891473311	0.028110547736620806	0.02811069402086703	10
0	2	seq	Elephant Valley	24	0.20000000000000004	0.20000000000000004	0.00104455	0.00104145	0.00104065	0.0012437664934663074	0.0012448014218281016	0.0012450104154643595	10
1	2	seq	Elephant Valley	24	0.20000000000000004	0.20000000000000004	0.00104455	0.00104145	0.00104065	0.0012437664934663074	0.0012448014218281016	0.0012450104154643595	10
0	4	seq	Elephant Valley	24	0.20000000000000004	0.20000000000000004	0.0010520500000000001	0.0010497	0.0010487	0.0012383442777124454	0.0012403834630238982	0.0012401774068066568	10
1	4	seq	Elephant Valley	24	0.20000000000000004	0.20000000000000004	0.0010520500000000001	0.0010497	0.0010487	0.0012383442777124454	0.0012403834630238982	0.0012401774068066568	10
0	8	seq	Elephant Valley	24	0.20000000000000004	0.20000000000000004	0.0010467000000000002	0.0010432	0.0010422	0.0012409377212991624	0.0012426016975667581	0.0012424051227467507	10
1	8	seq	Elephant Valley	24	0.20000000000000004	0.20000000000000004	0.0010467000000000002	0.0010432	0.0010422	0.0012409377212991624	0.0012426016975667581	0.0012424051227467507	10
0	1	seq	Triple Spiral Valley	24	0.1760000000000001	0.2000000000000001	0.00150005	0.010261725000000001	0.010260950000000001	0.001593971018491481	0.024096760034131602	0.02409668074701717	10
1	1	seq	Triple Spiral Valley	24	0.1760000000000001	0.2000000000000001	0.00150005	0.010261725000000001	0.010260950000000001	0.001593971018491481	0.024096760034131602	0.02409668074701717	10
0	2	seq	Triple Spiral Valley	24	0.17600000000000005	0.20000000000000004	0.0012503	0.0012477000000000002	0.0012467000000000001	0.0015097283037044497	0.0015116149234009372	0.0015116186685996396	10
1	2	seq	Triple Spiral Valley	24	0.17600000000000005	0.20000000000000004	0.0012503	0.0012477000000000002	0.0012467000000000001	0.0015097283037044497	0.0015116149234009372	0.0015116186685996396	10
0	4	seq	Triple Spiral Valley	24	0.17600000000000005	0.20000000000000004	0.00124975	0.00124575	0.001245	0.0014896512896294678	0.001489813884575414	0.001490101452992556	10
1	4	seq	Triple Spiral Valley	24	0.17600000000000005	0.20000000000000004	0.00124975	0.00124575	0.001245	0.0014896512896294678	0.001489813884575414	0.001490101452992556	10
0	8	seq	Triple Spiral Valley	24	0.17600000000000005	0.20000000000000004	0.0012479000000000001	0.0012442500000000001	0.0012433499999999998	0.0014821379108727753	0.0014824598176856707	0.0014824473245080422	10
1	8	seq	Triple Spiral Valley	24	0.17600000000000005	0.20000000000000004	0.0012479000000000001	0.0012442500000000001	0.0012433499999999998	0.0014821379108727753	0.0014824598176856707	0.0014824473245080422	10
